,district,page_number,taxpayer_men,taxpayer_women,no_tax_men,no_tax_women,in_russia_men,in_russia_women,total_men,total_women,independent,white_collar,worker_industry,worker_other,servants,other,non_resident,orthodox,other_christian,other_religion,draftable
0,Valli,1,11,12.0,11.0,5.0,0.0,0.0,22.0,27.0,19.0,13.0,0.0,6.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Valli,2,18,26.0,5.0,5.0,0.0,0.0,23.0,31.0,31.0,11.0,0.0,7.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0
2,Valli,3,14,21.0,5.0,3.0,0.0,0.0,19.0,24.0,9.0,3.0,3.0,20.0,5.0,20.0,1.0,0.0,0.0,0.0,0.0
3,Valli,4,12,35.0,11.0,12.0,0.0,0.0,23.0,47.0,39.0,7.0,0.0,3.0,19.0,2.0,0.0,0.0,0.0,0.0,0.0
4,Valli,5,9,21.0,6.0,12.0,0.0,0.0,15.0,33.0,21.0,15.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0
5,Valli,6,17,16.0,3.0,5.0,0.0,0.0,20.0,21.0,14.0,6.0,10.0,6.0,2.0,3.0,0.0,5.0,0.0,0.0,0.0
6,Valli,7,12,22.0,7.0,5.0,0.0,0.0,19.0,27.0,19.0,19.0,0.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0
7,Valli,8,17,16.0,7.0,10.0,0.0,0.0,24.0,26.0,15.0,8.0,3.0,19.0,2.0,2.0,1.0,0.0,7.0,0.0,0.0
8,Valli,9,15,28.0,9.0,11.0,0.0,0.0,24.0,39.0,22.0,11.0,9.0,10.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0
9,Valli,10,16,22.0,17.0,11.0,0.0,0.0,33.0,33.0,24.0,17.0,10.0,12.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0
10,Valli,11,16,21.0,5.0,5.0,0.0,0.0,21.0,26.0,20.0,3.0,7.0,9.0,2.0,3.0,3.0,6.0,0.0,0.0,0.0
11,Valli,12,14,25.0,11.0,8.0,0.0,0.0,25.0,35.0,15.0,14.0,0.0,5.0,23.0,1.0,0.0,6.0,0.0,0.0,0.0
12,Valli,13,15,33.0,17.0,8.0,0.0,0.0,32.0,41.0,33.0,16.0,0.0,4.0,19.0,0.0,1.0,0.0,0.0,0.0,0.0
13,Valli,14,11,22.0,10.0,3.0,0.0,0.0,21.0,25.0,8.0,20.0,0.0,6.0,6.0,2.0,4.0,0.0,0.0,0.0,0.0
14,Valli,15,14,29.0,10.0,10.0,0.0,0.0,24.0,39.0,28.0,8.0,2.0,10.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0
15,Valli,16,13,15.0,8.0,9.0,0.0,0.0,21.0,24.0,20.0,14.0,2.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Valli,17,16,31.0,16.0,13.0,0.0,0.0,32.0,44.0,22.0,17.0,0.0,19.0,15.0,2.0,1.0,6.0,0.0,0.0,0.0
17,Valli,18,12,28.0,7.0,10.0,0.0,0.0,19.0,38.0,34.0,13.0,0.0,4.0,15.0,2.0,0.0,4.0,0.0,0.0,0.0
18,Valli,19,16,36.0,10.0,8.0,0.0,0.0,26.0,44.0,38.0,0.0,0.0,2.0,28.0,0.0,2.0,0.0,0.0,0.0,0.0
19,Valli,20,16,23.0,9.0,11.0,0.0,0.0,18.0,34.0,22.0,11.0,0.0,12.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0
20,Valli,21,15,20.0,9.0,9.0,0.0,0.0,24.0,39.0,18.0,22.0,0.0,7.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0
21,Valli,22,14,28.0,10.0,15.0,0.0,0.0,24.0,43.0,33.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,1.0,2.0,0.0
22,Valli,23,14,26.0,11.0,12.0,0.0,0.0,25.0,38.0,26.0,9.0,0.0,14.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0
23,Valli,24,12,31.0,10.0,16.0,0.0,0.0,22.0,47.0,43.0,9.0,0.0,0.0,17.0,0.0,0.0,5.0,0.0,0.0,0.0
24,Valli,25,12,39.0,7.0,14.0,0.0,0.0,19.0,43.0,27.0,11.0,0.0,12.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Valli,26,16,23.0,9.0,17.0,0.0,0.0,25.0,40.0,16.0,11.0,0.0,23.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0
26,Valli,27,12,22.0,18.0,15.0,0.0,0.0,30.0,37.0,37.0,0.0,0.0,23.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0
27,Valli,28,14,28.0,7.0,8.0,0.0,0.0,21.0,26.0,28.0,0.0,0.0,9.0,16.0,4.0,0.0,4.0,1.0,0.0,0.0
28,Valli,29,15,25.0,16.0,19.0,0.0,0.0,32.0,44.0,26.0,37.0,0.0,0.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0
29,Valli,30,11,20.0,6.0,8.0,0.0,0.0,17.0,28.0,25.0,0.0,0.0,11.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0
30,Valli,31,11,23.0,9.0,6.0,0.0,0.0,20.0,29.0,26.0,15.0,0.0,3.0,5.0,0.0,0.0,8.0,0.0,0.0,0.0
31,Valli,32,16,18.0,3.0,7.0,0.0,0.0,21.0,35.0,15.0,14.0,3.0,10.0,0.0,9.0,0.0,7.0,0.0,0.0,0.0
32,Valli,33,17,19.0,15.0,13.0,0.0,0.0,32.0,32.0,16.0,33.0,0.0,10.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0
33,Valli,34,12,21.0,0.0,8.0,0.0,0.0,12.0,29.0,26.0,3.0,0.0,6.0,5.0,1.0,0.0,5.0,0.0,0.0,0.0
34,Valli,35,18,21.0,5.0,6.0,0.0,0.0,23.0,27.0,17.0,12.0,0.0,12.0,7.0,2.0,0.0,12.0,0.0,0.0,0.0
35,Valli,36,12,21.0,6.0,4.0,0.0,0.0,18.0,25.0,18.0,12.0,0.0,7.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0
36,Valli,37,11,24.0,7.0,14.0,0.0,0.0,18.0,38.0,27.0,5.0,6.0,15.0,1.0,2.0,0.0,6.0,0.0,0.0,0.0
37,Valli,38,19,25.0,9.0,10.0,0.0,0.0,28.0,35.0,42.0,4.0,1.0,2.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0
38,Valli,39,5,26.0,6.0,7.0,0.0,0.0,11.0,33.0,25.0,5.0,0.0,2.0,12.0,0.0,0.0,7.0,0.0,0.0,0.0
39,Valli,40,16,28.0,6.0,9.0,0.0,0.0,22.0,37.0,18.0,25.0,0.0,0.0,12.0,0.0,4.0,0.0,0.0,0.0,0.0
40,Valli,41,11,15.0,4.0,5.0,0.0,0.0,15.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0
41,Valli,42,1,12.0,5.0,10.0,0.0,0.0,6.0,22.0,3.0,10.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0
42,Valli,43,12,17.0,9.0,8.0,0.0,0.0,21.0,25.0,21.0,18.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
43,Valli,44,18,33.0,13.0,1.0,0.0,0.0,31.0,34.0,37.0,9.0,1.0,7.0,11.0,0.0,0.0,2.0,0.0,0.0,0.0
44,Valli,45,15,26.0,4.0,9.0,0.0,0.0,19.0,35.0,17.0,9.0,3.0,7.0,9.0,9.0,0.0,4.0,0.0,0.0,0.0
45,Valli,46,8,21.0,10.0,6.0,0.0,0.0,18.0,27.0,29.0,5.0,0.0,2.0,9.0,0.0,0.0,10.0,0.0,0.0,0.0
46,Valli,47,13,29.0,5.0,8.0,0.0,0.0,18.0,37.0,41.0,1.0,0.0,2.0,11.0,0.0,0.0,3.0,0.0,0.0,0.0
47,Valli,48,14,19.0,1.0,6.0,0.0,0.0,15.0,25.0,23.0,3.0,0.0,9.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0
48,Valli,49,10,17.0,5.0,11.0,0.0,0.0,15.0,28.0,3.0,23.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Valli,50,15,20.0,9.0,9.0,0.0,0.0,24.0,29.0,22.0,7.0,16.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
50,Valli,51,9,17.0,10.0,5.0,0.0,0.0,19.0,22.0,18.0,2.0,0.0,10.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0
51,Valli,52,17,27.0,7.0,5.0,0.0,0.0,24.0,37.0,3.0,1.0,4.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
52,Valli,53,23,19.0,2.0,4.0,0.0,0.0,25.0,23.0,16.0,13.0,1.0,7.0,6.0,0.0,5.0,0.0,0.0,0.0,0.0
53,Valli,54,6,24.0,7.0,9.0,0.0,0.0,13.0,33.0,27.0,0.0,0.0,6.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0
54,Valli,55,14,28.0,12.0,11.0,0.0,0.0,26.0,32.0,34.0,10.0,0.0,4.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0
55,Valli,56,19,21.0,6.0,6.0,0.0,0.0,26.0,27.0,15.0,7.0,0.0,26.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
56,Valli,57,9,32.0,5.0,9.0,0.0,0.0,14.0,41.0,33.0,5.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
57,Valli,58,11,33.0,10.0,12.0,0.0,0.0,26.0,45.0,56.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Valli,59,10,22.0,5.0,6.0,0.0,0.0,15.0,28.0,23.0,4.0,0.0,6.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0
59,Valli,60,16,21.0,19.0,14.0,0.0,0.0,35.0,35.0,7.0,41.0,0.0,15.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0
60,Valli,61,10,22.0,5.0,6.0,0.0,0.0,15.0,28.0,23.0,4.0,0.0,6.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0
61,Valli,62,16,21.0,19.0,14.0,0.0,0.0,35.0,35.0,7.0,41.0,0.0,15.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0
62,Valli,63,12,20.0,9.0,10.0,0.0,0.0,21.0,30.0,16.0,13.0,7.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
63,Valli,64,11,31.0,9.0,14.0,0.0,0.0,20.0,45.0,40.0,7.0,0.0,4.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
64,Valli,65,11,24.0,13.0,7.0,0.0,0.0,24.0,31.0,22.0,6.0,0.0,19.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
65,Valli,66,12,33.0,11.0,11.0,0.0,0.0,23.0,44.0,33.0,10.0,0.0,17.0,7.0,0.0,0.0,5.0,0.0,0.0,0.0
66,Valli,67,4,19.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,21.0,3.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,Salakkalahti,68,5,8.0,3.0,2.0,0.0,0.0,10.0,10.0,10.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
68,Salakkalahti,69,15,22.0,6.0,7.0,0.0,0.0,21.0,39.0,17.0,2.0,0.0,21.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0
69,Salakkalahti,70,20,20.0,7.0,7.0,0.0,0.0,27.0,27.0,20.0,13.0,0.0,12.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
70,Salakkalahti,71,11,32.0,2.0,4.0,0.0,0.0,13.0,36.0,25.0,2.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0
71,Salakkalahti,72,15,33.0,6.0,11.0,0.0,0.0,21.0,44.0,39.0,11.0,0.0,0.0,15.0,0.0,0.0,6.0,0.0,0.0,0.0
72,Salakkalahti,73,17,27.0,8.0,6.0,0.0,0.0,25.0,33.0,39.0,7.0,0.0,2.0,10.0,0.0,7.0,7.0,0.0,0.0,0.0
73,Salakkalahti,74,16,28.0,5.0,10.0,0.0,0.0,21.0,28.0,31.0,3.0,1.0,6.0,7.0,1.0,0.0,5.0,0.0,0.0,0.0
74,Salakkalahti,75,16,25.0,10.0,10.0,0.0,0.0,26.0,35.0,35.0,9.0,1.0,0.0,14.0,2.0,0.0,14.0,0.0,0.0,0.0
75,Salakkalahti,76,13,31.0,5.0,7.0,0.0,0.0,18.0,35.0,35.0,0.0,0.0,0.0,18.0,0.0,0.0,1.0,0.0,0.0,0.0
76,Salakkalahti,77,17,25.0,11.0,17.0,0.0,0.0,28.0,42.0,40.0,10.0,0.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
77,Salakkalahti,78,16,26.0,10.0,7.0,0.0,0.0,26.0,33.0,25.0,6.0,0.0,19.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0
78,Salakkalahti,79,15,28.0,2.0,11.0,0.0,0.0,17.0,39.0,16.0,30.0,0.0,5.0,8.0,0.0,0.0,5.0,0.0,0.0,0.0
79,Repola,80,17,27.0,7.0,8.0,0.0,0.0,24.0,35.0,15.0,12.0,4.0,12.0,16.0,0.0,0.0,2.0,0.0,0.0,0.0
80,Repola,81,12,26.0,6.0,7.0,0.0,0.0,18.0,33.0,25.0,4.0,0.0,13.0,9.0,0.0,0.0,8.0,0.0,0.0,0.0
81,Repola,82,13,17.0,5.0,6.0,0.0,0.0,18.0,23.0,16.0,7.0,0.0,10.0,7.0,1.0,0.0,2.0,0.0,0.0,0.0
82,Repola,83,13,28.0,6.0,10.0,0.0,0.0,16.0,30.0,27.0,10.0,0.0,0.0,9.0,0.0,0.0,0.0,2.0,0.0,0.0
83,Repola,84,14,18.0,10.0,11.0,0.0,0.0,24.0,29.0,27.0,6.0,0.0,11.0,6.0,3.0,0.0,2.0,0.0,0.0,0.0
84,Repola,85,16,17.0,4.0,5.0,0.0,0.0,20.0,22.0,12.0,9.0,0.0,19.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
85,Repola,86,13,31.0,9.0,7.0,0.0,0.0,22.0,38.0,33.0,2.0,0.0,3.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0
86,Repola,87,13,23.0,5.0,7.0,0.0,0.0,18.0,30.0,27.0,7.0,0.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
87,Repola,88,8,22.0,3.0,6.0,0.0,0.0,11.0,28.0,9.0,20.0,0.0,4.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0
88,Repola,89,13,26.0,6.0,8.0,0.0,0.0,19.0,34.0,36.0,9.0,0.0,0.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0
89,Repola,90,13,18.0,12.0,13.0,0.0,0.0,25.0,31.0,26.0,19.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
90,Repola,91,16,22.0,4.0,9.0,0.0,0.0,20.0,31.0,16.0,1.0,1.0,22.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0
91,Repola,92,19,24.0,6.0,9.0,0.0,0.0,25.0,33.0,14.0,10.0,4.0,25.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
92,Repola,93,13,32.0,8.0,9.0,0.0,0.0,31.0,41.0,34.0,5.0,1.0,6.0,15.0,1.0,0.0,2.0,0.0,0.0,0.0
93,Repola,94,13,26.0,4.0,11.0,0.0,0.0,17.0,37.0,30.0,6.0,0.0,1.0,16.0,1.0,0.0,9.0,0.0,0.0,0.0
94,Repola,95,11,22.0,1.0,3.0,0.0,0.0,12.0,25.0,19.0,1.0,4.0,0.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0
95,Repola,96,12,22.0,7.0,9.0,0.0,0.0,19.0,31.0,25.0,6.0,2.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
96,Repola,97,10,24.0,6.0,8.0,0.0,0.0,16.0,32.0,30.0,5.0,0.0,0.0,13.0,0.0,0.0,8.0,0.0,0.0,0.0
97,Repola,98,14,27.0,7.0,7.0,0.0,0.0,21.0,34.0,36.0,6.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0
98,Repola,99,13,22.0,9.0,20.0,0.0,0.0,22.0,42.0,23.0,14.0,2.0,13.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0
99,Repola,100,14,21.0,16.0,8.0,0.0,0.0,30.0,29.0,30.0,2.0,4.0,15.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0
100,Repola,101,21,25.0,8.0,13.0,0.0,0.0,29.0,38.0,39.0,12.0,0.0,10.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0
101,Repola,102,17,26.0,7.0,9.0,0.0,0.0,24.0,35.0,25.0,2.0,6.0,21.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0
102,Repola,103,19,28.0,12.0,10.0,0.0,0.0,31.0,33.0,26.0,16.0,5.0,10.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0
103,Repola,104,16,20.0,11.0,13.0,0.0,0.0,27.0,33.0,28.0,26.0,0.0,2.0,5.0,0.0,0.0,7.0,0.0,0.0,0.0
104,Repola,105,19,19.0,7.0,4.0,0.0,0.0,26.0,23.0,24.0,17.0,1.0,4.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0
105,Repola,106,17,21.0,5.0,10.0,0.0,0.0,22.0,31.0,26.0,10.0,1.0,10.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0
106,Repola,107,13,15.0,11.0,11.0,0.0,0.0,24.0,26.0,25.0,8.0,0.0,16.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
107,Repola,108,26,19.0,6.0,2.0,0.0,0.0,32.0,21.0,31.0,9.0,0.0,0.0,11.0,2.0,0.0,4.0,0.0,0.0,0.0
108,Repola,109,22,12.0,4.0,8.0,0.0,0.0,26.0,20.0,26.0,9.0,3.0,4.0,4.0,0.0,0.0,12.0,0.0,0.0,0.0
109,Repola,110,12,24.0,9.0,12.0,0.0,0.0,21.0,36.0,36.0,3.0,0.0,4.0,14.0,0.0,0.0,2.0,0.0,0.0,0.0
110,Repola,111,12,35.0,3.0,8.0,0.0,0.0,15.0,43.0,34.0,10.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
111,Repola,112,18,27.0,15.0,12.0,0.0,0.0,33.0,39.0,50.0,4.0,0.0,8.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0
112,Repola,113,16,18.0,17.0,10.0,0.0,0.0,33.0,28.0,27.0,0.0,8.0,14.0,12.0,0.0,0.0,8.0,0.0,0.0,0.0
113,Repola,114,13,30.0,9.0,14.0,0.0,0.0,22.0,44.0,31.0,23.0,0.0,0.0,12.0,0.0,0.0,9.0,0.0,0.0,0.0
114,Repola,115,14,30.0,12.0,16.0,0.0,0.0,26.0,46.0,35.0,19.0,0.0,4.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0
115,Repola,116,10,25.0,8.0,3.0,0.0,0.0,18.0,28.0,25.0,12.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
116,Repola,117,12,21.0,7.0,13.0,0.0,0.0,19.0,34.0,13.0,12.0,2.0,12.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
117,Repola,118,13,29.0,3.0,10.0,0.0,0.0,16.0,39.0,26.0,10.0,0.0,10.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
118,Repola,119,12,24.0,7.0,7.0,0.0,0.0,19.0,31.0,27.0,5.0,0.0,6.0,6.0,5.0,1.0,6.0,0.0,0.0,0.0
119,Repola,120,11,18.0,2.0,5.0,0.0,0.0,13.0,23.0,8.0,6.0,0.0,12.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0
120,Repola,121,19,14.0,9.0,8.0,0.0,0.0,28.0,22.0,3.0,21.0,0.0,17.0,1.0,7.0,1.0,0.0,6.0,0.0,0.0
121,Repola,122,20,17.0,11.0,13.0,0.0,0.0,31.0,30.0,18.0,0.0,29.0,7.0,7.0,0.0,0.0,10.0,0.0,0.0,0.0
122,Repola,123,16,22.0,5.0,10.0,0.0,0.0,21.0,32.0,22.0,6.0,0.0,16.0,7.0,2.0,0.0,1.0,0.0,0.0,0.0
123,Repola,124,20,22.0,11.0,12.0,0.0,0.0,31.0,34.0,15.0,28.0,0.0,13.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
124,Repola,125,15,18.0,12.0,13.0,0.0,0.0,27.0,31.0,13.0,22.0,2.0,19.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
125,Repola,126,11,31.0,8.0,12.0,0.0,0.0,19.0,43.0,19.0,22.0,0.0,10.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0
