,district,page_number,taxpayer_men,taxpayer_women,no_tax_men,no_tax_women,in_russia_men,in_russia_women,total_men,total_women,independent,white_collar,worker_industry,worker_other,servants,other,non_resident,orthodox,other_christian,other_religion,draftable
0,Valli,1,11,26.0,9.0,4.0,0.0,0.0,20,30.0,19.0,11.0,2.0,0.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0
1,Valli,2,15,19.0,6.0,10.0,0.0,0.0,20,29.0,16.0,12.0,2.0,8.0,6.0,4.0,2.0,1.0,0.0,0.0,0.0
2,Valli,3,13,18.0,1.0,1.0,0.0,0.0,14,19.0,19.0,5.0,2.0,1.0,11.0,1.0,0.0,1.0,0.0,0.0,0.0
3,Valli,4,17,20.0,9.0,10.0,0.0,0.0,26,31.0,20.0,3.0,0.0,4.0,11.0,5.0,13.0,6.0,0.0,0.0,0.0
4,Valli,5,14,27.0,2.0,5.0,0.0,0.0,16,32.0,26.0,19.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0
5,Valli,6,21,19.0,2.0,6.0,0.0,0.0,23,25.0,22.0,10.0,0.0,0.0,13.0,2.0,1.0,9.0,0.0,0.0,1.0
6,Valli,7,7,28.0,3.0,13.0,0.0,0.0,10,41.0,16.0,2.0,0.0,0.0,26.0,7.0,0.0,0.0,0.0,0.0,0.0
7,Valli,8,19,18.0,8.0,8.0,0.0,0.0,27,26.0,22.0,4.0,0.0,12.0,12.0,3.0,0.0,4.0,0.0,0.0,0.0
8,Valli,9,16,24.0,5.0,15.0,0.0,0.0,21,39.0,37.0,7.0,0.0,1.0,13.0,2.0,0.0,12.0,0.0,0.0,1.0
9,Valli,10,10,32.0,9.0,4.0,0.0,0.0,19,36.0,11.0,11.0,1.0,4.0,22.0,5.0,0.0,5.0,0.0,0.0,0.0
10,Valli,11,25,27.0,2.0,7.0,0.0,0.0,27,34.0,11.0,8.0,2.0,11.0,16.0,8.0,5.0,5.0,0.0,0.0,1.0
11,Valli,12,18,33.0,12.0,11.0,0.0,0.0,30,44.0,31.0,20.0,0.0,3.0,19.0,1.0,0.0,6.0,0.0,0.0,0.0
